49	B 1 1 2/m	Sn2.0067 S0.993 I2		Etude structurale des halogeno-chalcogenures d&#39;etain (II) I. Structure cristalline de la phase alpha de l&#39;iodosulfure d&#39;etain Sn2 S I2	Nguyen, H.D.;  Thevet, F.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1108-p1111
50	P n a m	Sn2 S I2		Etude structurale des halogeno-chalcogenures d&#39;etain (II) II. Structure cristalline de la phase beta de l&#39;iodosulfure d&#39;etain, Sn2 S I2	Nguyen, H.D.;  Thevet, F.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1112-p1115
76	P 1 21/n 1	K3 (P3 O9)		Structure cristalline du trimetaphosphate de potassium K3 P3 O9	Bagieu-Beucher, M.;  Tordjman, I.;  Durif, A.;  Guitel, J.C.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1427-p1430
91	P -3 c 1	Rb2 (Ge4 O9)	Rb2Ge4O9	Structure cristalline de Rb2 Ge4 O9 et Rb2 Ti Ge3 O9 de type tetragermanate et etude structurale comparee de germanates en anneaux	Goreaud, M.;  Raveau, B.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1536-p1540
104	P 1 21/c 1	Na8 (Ga2 O7)	Na8Ga2O7	Ein neues Oxogallat mit Inselstruktur: Na8 Ga2 O7	Fink, D.;  Hoppe, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1976) 422,  p1-p16
150	P 1 21/c 1	Ca (C O3)		Crystal structure of Ca C O3(II), a high-pressure metastable phase calcium carbonate	Merrill, L.;  Bassett, W.A.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p343-p349
158	P -1	K4 (Sn O4)	Na4SiO4	Structure cristalline de l&#39;orthostannate de potassium K4 Sn O4	Marchand, R.;  Piffard, Y.;  Tournoux, M.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p511-p514
170	I 1 c 1	Al (P O3)3	Rh(PO3)3	Crystal structure of a monoclinic form of aluminium metaphosphate, Al (P O3)3	van der Meer, H.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2423-p2426
206	B 1 1 2/m	Sn2 S I2		Contribution a l&#39;etude du systeme forme par l&#39;etain, le soufre et l&#39;iode mise en evidence des deux varietes de l&#39;iodosulfure stanneux Sn2 S I2: comportement thermique et etude structurale	Thevet, F.;  Nguyen, H.D.;  Dagron, C.;  Flahaut, J.	Journal of Solid State Chemistry (1976) 18,  p175-p182
207	P n a m	Sn2 S I2		Contribution a l&#39;etude du systeme forme par l&#39;etain, le soufre et l&#39;iode mise en evidence des deux varietes de l&#39;iodosulfure stanneux Sn2 S I2: comportement thermique et etude structurale	Thevet, F.;  Nguyen, H.D.;  Dagron, C.;  Flahaut, J.	Journal of Solid State Chemistry (1976) 18,  p175-p182
218	P m -3 m	Na3 O (N O2)		Na3 N O3 - Kein Orthonitrit	Jansen, M.	Angewandte Chemie (German Edition) (1976) 88,  p410-p410
260	P 1 21/n 1	Ca Al2 O4	NaBePO4	Zur Kristallstruktur von Ca Al2 O4	Hoerkner, W.;  Mueller Buschbaum, H.	Journal of Inorganic and Nuclear Chemistry (1976) 38,  p983-p984
268	P n m a	Sn2 S I2		Kristallstruktur des Zinnsulfidjodids	Fenner, J.	Naturwissenschaften (1976) 63,  p244-p244
