1	P 1 21/c 1	(Te4 O) (Cr2 O10)	Mg5(SiO4)2F2	Cr2 Te4 O11: une structure a anions complexes (Cr2 O10)(14-)	Meunier, G.;  Frit, B.;  Galy, J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p175-p180
8	P n m a	Ba (Te S3)		Structure cristalline d&#39;un thiotellurite de baryum Ba Te S3. Comparaison avec d&#39;autres groupements Te X3	Jumas, P.J.;  Ribes, M.;  Maurin, M.;  Philippot, E.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p444-p448
58	P 1 21/a 1	Li2 (S O4)	Li2SO4	Crystal structure of beta-Li2 S O4	Nord, A.G.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p982-p983
73	P 1 21/c 1	Mo Te2 O7	SiP2O7	Structure cristalline de l&#39;oxide mixte de molybdene-tellure: Mo Te2 O7	Arnaud, Y.;  Averbuch-Pouchot, M.T.;  Durif, A.;  Guidot, J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1417-p1420
88	P 1 2/c 1	K2 W3 O10		The crystal structure of K2 W3 O10	Okada, K.;  Morikawa, H.;  Marumo, F.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1522-p1525
185	P n m a	Y2 Hf S5	U3S5	Y2 Hf S5 with ordered U3 Se5 type structure and related compounds	Jeitschko, W.;  Donohue, P.C.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1890-p1895
187	C m c 21	Sr2 (Nb2 O7)	Sr2Nb2O7	The crystal structure of Sr2 Nb2 O7, a compound with perovskite-type slabs	Ishizawa, N.;  Marumo, F.;  Kawamura, T.;  Kimura, M.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1912-p1915
204	P -4 21 m	Na0.33 (W O3)		Crystal structure studies of tetragonal sodium tungsten bronzes, Nax W O3. I. Na0.33 W O3 and Na0.48 W O3	Takusagawa, F.;  Jacobson, R.A.	Journal of Solid State Chemistry (1976) 18,  p163-p174
205	P 4/m b m	Na0.48 (W O3)		Crystal structure studies of tetragonal sodium tungsten bronzes, Nax W O3. I. Na0.33 W O3 and Na0.48 W O3	Takusagawa, F.;  Jacobson, R.A.	Journal of Solid State Chemistry (1976) 18,  p163-p174
265	P m n 21	Te2 O3 (S O4)		Verfeinerung der Kristallstruktur von Te2 O3 (S O4)	Mayer, H.;  Pupp, G.	Monatshefte fuer Chemie (1976) 107,  p721-p730
274	P -3 1 m	U (Cr2 O6)	Li2ZrF6	Etude par diffractions X et neutronique d&#39;un monocristal de U Cr2 O6 obtenu par synthese hydrothermale sous tres haute pression. Determination des structures cristallographique et magnetique	Collomb, A.;  Gondrand, M.;  Lehmann, M.;  Capponi, J.J.;  Joubert, J.C.	Journal of Solid State Chemistry (1976) 16,  p41-p48
