12	P n a 21	K (Ga2 Cl7)	KGa2Cl7	Structure cristalline d&#39; un chlorocomplexe de gallium: K Ga2 Cl7	Mascherpa-Corral, D.;  Vitse, P.;  Potier, A.;  Darriet, J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p247-p250
15	B 1 1 2/m	(Mn0.6666 Cr0.3333) I2		Manganese(II) chrome(II) diiodure: phase beta des (Mn, Cr) I2	Guen, L.;  Nguyen, H.D.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p311-p312
24	I 4/m c m	Cs3 (Mn Cl5)	Cs3CoCl5	Crystal structure of Cs3 Mn Cl5	Goodyear, J.;  Kennedy, D.J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p631-p632
269	P -6 2 c	Tl6 Pb I10		A polyiodide with regular I4(2-) chains: Tl6 Pb I10	Rabenau, A.;  Schulz, H.;  Stoeger, W.	Naturwissenschaften (1976) 63,  p245-p245
281	P -3 m 1	Cs2 (Sn F6)	K2GeF6	Etude structurale de Cs2 Sn F6	Durand, M.;  Galigne, J.L.;  Lari-Lavassani, A.	Journal of Solid State Chemistry (1976) 16,  p157-p160
285	P 4/m m m	K (Al F4)	KAlF4	Electrical properties of undoped and doped potassium tetrafluoaluminate: K Al F4	Schoonman, J.;  Huggins, R.	Journal of Solid State Chemistry (1976) 16,  p413-p422
321	P 1 21/c 1	(Br F2)2 (Ge F6)		Fluoride crystal structures. part XXVI. bis(difluorobromonium(III) ) hexafluorogermanate(IV)	Edwards, A.J.;  Christe, K.	Journal of the Chemical Society. Dalton Transactions, Inorganic Chemistry (1972-) (1976) 1976,  p175-p177
389	P b c n	Na (Ti F4)		Structure cristalline de alpha-Na Ti F4	Omaly, J.;  Batail, P.;  Grandjean, D.;  Avignant, D.;  Cousseins, J.C.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2106-p2110
402	I 4/m m m	Ca Mn2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
403	I 4/m m m	Sr Mn2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
404	I 4/m m m	Ba Mn2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
