	Z1	Z2	Z3	n1	n2	n3	Eneg1	Eneg2	Eneg3	Sp_gr	Formulae	Volume
0	89	20	49	1.0	1.0	2.0	1.1	1.0	1.78	225	Ca1 Ac1 In2	129.0851588
1	89	80	81	1.0	2.0	1.0	1.1	2.0	1.62	225	Ac1 Tl1 Hg2	117.265654822
2	28	32	89	1.0	1.0	2.0	1.91	2.01	1.1	225	Ac2 Ni1 Ge1	110.427684705
3	82	89	79	1.0	1.0	2.0	2.33	1.1	2.54	225	Ac1 Pb1 Au2	106.644653458
4	38	89	30	1.0	1.0	2.0	0.95	1.1	1.65	225	Sr1 Ac1 Zn2	120.065068884
5	89	70	48	1.0	1.0	2.0	1.1	0.0	1.69	225	Yb1 Ac1 Cd2	124.767693557
6	89	8	35	2.0	2.0	2.0	1.1	3.44	2.96	129	Ac2 Br2 O2	143.023434319
7	89	8	17	2.0	2.0	2.0	1.1	3.44	3.16	129	Ac2 Cl2 O2	131.046117797
8	11	89	50	1.0	2.0	1.0	0.93	1.1	1.96	225	Na1 Ac2 Sn1	139.922105074
9	89	70	12	1.0	1.0	2.0	1.1	0.0	1.31	225	Yb1 Ac1 Mg2	132.610727669
10	82	11	89	1.0	1.0	2.0	2.33	0.93	1.1	225	Na1 Ac2 Pb1	144.78183143
11	89	14	80	2.0	1.0	1.0	1.1	1.9	2.0	225	Ac2 Si1 Hg1	123.549644411
12	89	70	31	1.0	1.0	2.0	1.1	0.0	1.81	225	Yb1 Ac1 Ga2	110.566857885
13	89	79	14	2.0	1.0	1.0	1.1	2.54	1.9	225	Ac2 Si1 Au1	118.317307108
14	89	70	45	1.0	1.0	2.0	1.1	0.0	2.28	225	Yb1 Ac1 Rh2	89.3053020692
15	55	89	52	1.0	1.0	2.0	0.79	1.1	2.1	225	Cs1 Ac1 Te2	151.017465755
16	44	89	3	1.0	2.0	1.0	2.2	1.1	0.98	225	Li1 Ac2 Ru1	108.875224696
17	89	79	49	1.0	2.0	1.0	1.1	2.54	1.78	225	Ac1 In1 Au2	103.537517221
18	89	80	49	1.0	2.0	1.0	1.1	2.0	1.78	225	Ac1 In1 Hg2	114.158958952
19	89	14	46	2.0	1.0	1.0	1.1	1.9	2.2	225	Ac2 Si1 Pd1	113.84194896
20	89	8	9	1.0	1.0	1.0	1.1	3.44	3.98	216	Ac1 O1 F1	53.3503105923
21	89	8	37	1.0	3.0	1.0	1.1	3.44	0.82	221	Rb1 Ac1 O3	99.6494192357
22	38	89	81	1.0	1.0	2.0	0.95	1.1	1.62	225	Sr1 Ac1 Tl2	140.892837103
23	89	77	79	2.0	1.0	1.0	1.1	2.2	2.54	225	Ac2 Ir1 Au1	110.447889478
24	89	80	47	1.0	2.0	1.0	1.1	2.0	1.93	225	Ac1 Ag1 Hg2	107.770445275
25	28	89	77	1.0	2.0	1.0	1.91	1.1	2.2	225	Ac2 Ni1 Ir1	100.970458771
26	89	70	30	1.0	1.0	2.0	1.1	0.0	1.65	225	Yb1 Ac1 Zn2	108.782143864
27	89	80	48	1.0	2.0	1.0	1.1	2.0	1.69	225	Ac1 Cd1 Hg2	111.745924751
28	12	89	80	1.0	1.0	2.0	1.31	1.1	2.0	225	Ac1 Mg1 Hg2	111.82400046
29	89	14	3	2.0	1.0	1.0	1.1	1.9	0.98	225	Li1 Ac2 Si1	117.654630702
30	89	12	48	1.0	1.0	2.0	1.1	1.31	1.69	225	Ac1 Mg1 Cd2	112.904773036
31	89	70	80	1.0	1.0	2.0	1.1	0.0	2.0	225	Yb1 Ac1 Hg2	121.320733639
32	89	50	3	1.0	1.0	2.0	1.1	1.96	0.98	225	Li2 Ac1 Sn1	94.7897037903
33	89	79	50	1.0	2.0	1.0	1.1	2.54	1.96	225	Ac1 Sn1 Au2	103.025576427
34	89	79	81	1.0	2.0	1.0	1.1	2.54	1.62	225	Ac1 Tl1 Au2	105.997384771
35	89	30	32	2.0	1.0	1.0	1.1	1.65	2.01	225	Ac2 Zn1 Ge1	118.737758435
36	89	79	83	1.0	2.0	1.0	1.1	2.54	2.02	225	Ac1 Bi1 Au2	107.22393555
37	89	79	30	1.0	2.0	1.0	1.1	2.54	1.65	225	Ac1 Zn1 Au2	97.9996134583
38	89	12	81	1.0	1.0	2.0	1.1	1.31	1.62	225	Ac1 Mg1 Tl2	121.397296671
39	89	77	3	2.0	1.0	1.0	1.1	2.2	0.98	225	Li1 Ac2 Ir1	109.488227022
40	89	81	3	1.0	2.0	1.0	1.1	1.62	0.98	225	Li1 Ac1 Tl2	119.599640947
41	12	89	50	1.0	2.0	1.0	1.31	1.1	1.96	225	Ac2 Mg1 Sn1	137.165418483
42	89	8	29	1.0	3.0	1.0	1.1	3.44	1.9	221	Ac1 Cu1 O3	61.3654635443
43	89	77	46	2.0	1.0	1.0	1.1	2.2	2.2	225	Ac2 Ir1 Pd1	106.095723631
44	89	77	29	2.0	1.0	1.0	1.1	2.2	1.9	225	Ac2 Cu1 Ir1	104.943957137
45	89	45	48	1.0	2.0	1.0	1.1	2.28	1.69	225	Ac1 Cd1 Rh2	84.2480248655
46	32	89	29	1.0	2.0	1.0	2.01	1.1	1.9	225	Ac2 Cu1 Ge1	114.239311109
47	11	89	79	1.0	1.0	2.0	0.93	1.1	2.54	225	Na1 Ac1 Au2	106.179556069
48	11	89	80	1.0	1.0	2.0	0.93	1.1	2.0	225	Na1 Ac1 Hg2	118.729876949
49	32	89	3	1.0	2.0	1.0	2.01	1.1	0.98	225	Li1 Ac2 Ge1	119.615442227
50	30	20	89	2.0	1.0	1.0	1.65	1.0	1.1	225	Ca1 Ac1 Zn2	111.581091967
51	89	81	47	1.0	1.0	2.0	1.1	1.62	1.93	225	Ac1 Tl1 Ag2	105.860497181
52	89	79	80	1.0	2.0	1.0	1.1	2.54	2.0	225	Ac1 Hg1 Au2	102.983959117
