	Z1	Z2	Z3	St_coeff1	St_coeff2	St_coeff3	Eneg1	Eneg2	Eneg3	Space Group	Composition
0	32	52	47	1.0	6.0	8.0	2.01	2.1	1.93	216	Ag8 Ge1 Te6
1	82	8	74	1.0	4.0	1.0	2.33	3.44	2.36	14	Pb1 W1 O4
2	52	35	29	1.0	1.0	1.0	2.1	2.96	1.9	141	Cu1 Te1 Br1
3	53	26	8	3.0	1.0	9.0	2.66	1.83	3.44	173	Fe1 I3 O9
4	48	8	7	1.0	6.0	2.0	1.69	3.44	3.04	29	Cd1 N2 O6
5	16	14	26	4.0	1.0	2.0	2.58	1.9	1.83	62	Fe2 Si1 S4
6	16	32	26	4.0	1.0	2.0	2.58	2.01	1.83	62	Fe2 Ge1 S4
7	8	47	7	3.0	1.0	1.0	3.44	1.93	3.04	161	Ag1 N1 O3
8	25	34	31	1.0	4.0	2.0	1.55	2.55	1.81	82	Mn1 Ga2 Se4
9	24	16	15	1.0	4.0	1.0	1.66	2.58	2.19	12	Cr1 P1 S4
10	32	34	78	1.0	1.0	1.0	2.01	2.55	2.28	29	Ge1 Pt1 Se1
11	16	50	29	4.0	1.0	4.0	2.58	1.96	1.9	62	Cu4 Sn1 S4
12	14	27	8	1.0	2.0	4.0	1.9	1.88	3.44	227	Co2 Si1 O4
13	25	8	17	8.0	10.0	3.0	1.55	3.44	3.16	139	Mn8 Cl3 O10
14	15	16	47	2.0	7.0	4.0	2.19	2.58	1.93	15	Ag4 P2 S7
15	6	76	8	12.0	3.0	12.0	2.55	2.2	3.44	14	Os3 C12 O12
16	41	8	7	1.0	1.0	1.0	1.6	3.44	3.04	14	Nb1 N1 O1
17	73	8	7	1.0	1.0	1.0	1.5	3.44	3.04	14	Ta1 N1 O1
18	16	14	47	6.0	1.0	8.0	2.58	1.9	1.93	33	Si1 Ag8 S6
19	82	41	8	1.0	2.0	6.0	2.33	1.6	3.44	36	Nb2 Pb1 O6
20	24	8	15	2.0	18.0	6.0	1.66	3.44	2.19	14	Cr2 P6 O18
21	15	8	29	2.0	8.0	3.0	2.19	3.44	1.9	2	Cu3 P2 O8
22	44	6	8	3.0	12.0	12.0	2.2	2.55	3.44	14	Ru3 C12 O12
23	15	8	29	2.0	10.0	5.0	2.19	3.44	1.9	2	Cu5 P2 O10
24	14	8	47	2.0	7.0	6.0	1.9	3.44	1.93	13	Si2 Ag6 O7
25	16	26	50	4.0	2.0	1.0	2.58	1.83	1.96	88	Fe2 Sn1 S4
26	80	8	17	6.0	4.0	4.0	2.0	3.44	3.16	14	Hg6 Cl4 O4
27	53	8	48	2.0	6.0	1.0	2.66	3.44	1.69	19	Cd1 I2 O6
28	15	16	30	6.0	18.0	4.0	2.19	2.58	1.65	12	Zn4 P6 S18
29	15	8	47	1.0	4.0	3.0	2.19	3.44	1.93	218	Ag3 P1 O4
30	27	13	8	1.0	2.0	4.0	1.88	1.61	3.44	227	Al2 Co1 O4
31	53	52	79	1.0	1.0	1.0	2.66	2.1	2.54	14	Te1 Au1 I1
32	15	8	29	2.0	9.0	4.0	2.19	3.44	1.9	2	Cu4 P2 O9
33	21	15	8	4.0	12.0	36.0	1.36	2.19	3.44	220	Sc4 P12 O36
34	15	25	8	3.0	1.0	9.0	2.19	1.55	3.44	56	Mn1 P3 O9
35	15	34	47	2.0	6.0	4.0	2.19	2.55	1.93	19	Ag4 P2 Se6
36	39	34	9	1.0	1.0	1.0	1.22	2.55	3.98	11	Y1 Se1 F1
37	16	83	29	10.0	5.0	4.0	2.58	2.02	1.9	12	Cu4 Bi5 S10
38	14	30	8	1.0	1.0	3.0	1.9	1.65	3.44	15	Zn1 Si1 O3
39	39	8	9	7.0	6.0	9.0	1.22	3.44	3.98	39	Y7 O6 F9
